company,country,type,founder_name,linkedin_url,website,hook
Darwin,UK,B2B Marketing,Matthew Hughes,https://www.linkedin.com/in/matthewhughes/,https://darwin-marketing.com,contract risk
Agilita Digital,UK,Digital Marketing,Alex Humphries,https://www.linkedin.com/in/alexhumphries/,https://agilitadigital.co.uk,contract risk
Aqueous Digital,UK,SEO / Marketing,Jonathan Guy,https://www.linkedin.com/in/jonathanguy/,https://aqueousdigital.co.uk,contract risk
SHC Digital,UK,Performance Marketing,Sally Hawkesford,https://www.linkedin.com/in/sallyhawkesford/,https://shcdigital.co.uk,contract risk
Absolute Digital Media,UK,Digital Marketing,Ben Austin,https://www.linkedin.com/in/ben-austin/,https://absolute.digital,contract risk
Brick Digital,UK,SEO / Marketing,Lorenzo Luiso,https://www.linkedin.com/in/lorenzoluiso/,https://brickdigital.co.uk,contract risk
Leopard Co,UK,Marketing Comms,Rachel Roberts,https://www.linkedin.com/in/rachelroberts/,https://leopardco.co.uk,contract risk
Fifth Ring,UK,B2B Marketing,Ian Ord,https://www.linkedin.com/in/ianord/,https://fifthring.com,contract risk
Metamindz UK,UK,Software Development,founder on LinkedIn,https://www.linkedin.com/company/metamindz-uk/,https://metamindz.co.uk,contract risk
AS Marketing,Germany,Marketing,Adriana Stein,https://www.linkedin.com/in/adrianastein/,https://asmarketing.de,contract risk
LEICHTSINN media,Germany,Social Media Marketing,Jan-Eike Reith,https://www.linkedin.com/in/janeikereith/,https://leichtsin.media,contract risk
HEAD. Marketing,Germany,Marketing,Bernd Hermann,https://www.linkedin.com/in/berndhermann/,https://head-marketing.de,contract risk
Online-Profession,Germany,Digital / SEO,Martin Witte,https://www.linkedin.com/in/martinwitte/,https://online-profession.de,contract risk
trara,Germany,Digital Agency,Niklas Buschner,https://www.linkedin.com/in/niklasbuschner/,https://trara.agency,contract risk
KlickPiloten,Germany,Digital Marketing,Stephan Sigloch,https://www.linkedin.com/in/stephan-sigloch/,https://klickpiloten.de,contract risk
comprisma GmbH,Germany,Marketing Consultancy,Bjoern Berensmann,https://www.linkedin.com/in/bjoernberensmann/,https://comprisma.de,contract risk
thjnk,Germany,Advertising,Karen Heumann,https://www.linkedin.com/in/karenheumann/,https://thjnk.de,contract risk
FUERSTVONMARTIN,Germany,Digital,founder on site,https://www.linkedin.com/company/fuerstvonmartin/,https://fuerstvonmartin.de,contract risk
Stratum Global,Germany,Marketing,Robert Jacobi,https://www.linkedin.com/in/robertjacobi/,https://stratum.global,contract risk
Flywheel Digital,Canada,Technical Marketing,Michael Steele,https://www.linkedin.com/in/michaelsteele/,https://flywheeldigital.ca,contract risk
TBL Digital,Canada,Growth Marketing,Kanak Aggarwal,https://www.linkedin.com/in/kanakaggarwal/,https://tbldigital.ca,contract risk
Periphery Digital,Canada,Digital Marketing,Alex Wan,https://www.linkedin.com/in/alexwan/,https://peripherydigital.com,contract risk
Kinex Media,Canada,Digital Agency,Amir Waheed,https://www.linkedin.com/in/amirwaheed/,https://kinexmedia.ca,contract risk
First Rank,Canada,Digital Advertising,Jacob Kettner,https://www.linkedin.com/in/jacobkettner/,https://firstrank.ca,contract risk
Hilborn Digital,Canada,Digital Agency,Sarah Halsey,https://www.linkedin.com/in/sarahhalsey/,https://hilborn.ca,contract risk
YEG Digital,Canada,Marketing,Paul Letourneau,https://www.linkedin.com/in/paulsletourneau/,https://yegdigital.ca,contract risk
The Gnar Company,USA,Software Consultancy,Mike Stone,https://www.linkedin.com/in/mikestone/,https://thegnar.co,contract risk
Mobelux,USA,Digital Agency,Jeff Rock,https://www.linkedin.com/in/jeffrock/,https://mobelux.com,contract risk
Simple Thread,USA,Digital Product Design,Justin Etheredge,https://www.linkedin.com/in/justinetheredge/,https://simplethread.com,contract risk
